Sample ID,Cohort,Cage,Ear,Diet,%P/%C/%F,%Glucose/%Fructose,in.P,in.F,in.C,in.Glu,in.Fru,in.Glustar,food.intake ,eaten.P,eaten.F,eaten.C,eaten.Glu,eaten.Fru,eaten.Glustar ,energy.eaten,,food.eaten ,energy.in,Water.Wk.12,,Water.Wk.12,Weight.Wk.12,Fat.Mass.Wk.12,Lean.Mass.Wk.12,Water.Mass.Wk.12,Fat.Percentage.Wk.12,Lean.Percentage.Wk.12,Water.Percentage.Wk.12,Fasting.blood.glucose,GTT.total.AUC,GTT.incremental.AUC,Fasting.Blood.Insulin,Fed.Blood.Insulin,HOMA.IR,ITT.total.AUC.45,ITT.total.AUC
1.1,1,1,1,G-1/S-1,10/70/20,100/0,1.43,2.86,9.96,7.01,0,9.96,3.22,4.61,9.23,32.1,22.59,0,32.1,45.94,,3.22,45.94,5.16,,5.16,29.3,2.67,25.16,21.95,9.112627986,85.87030717,74.91467577,9.1,1000.5,181.5,0.378540111,0.650578373,3.444715013,321.8,630.8
1.2,1,1,2,G-1/S-1,10/70/20,100/0,1.43,2.86,9.96,7.01,0,9.96,3.22,4.61,9.23,32.1,22.59,0,32.1,45.94,,,,,,5.16,30,1.4,27.32,23.66,4.666666667,91.06666667,78.86666667,9.4,1029.75,183.75,0.53051454,0.639409635,4.986836677,326.3,646.5
1.3,1,1,3,G-1/S-1,10/70/20,100/0,1.43,2.86,9.96,7.01,0,9.96,3.22,4.61,9.23,32.1,22.59,0,32.1,45.94,,,,,,5.16,31.3,2.92,26.99,22.81,9.329073482,86.23003195,72.87539936,9.7,1124.25,251.25,0.889908199,1.072596673,8.632109534,426,777.8
1.4,1,1,4,G-1/S-1,10/70/20,100/0,1.43,2.86,9.96,7.01,0,9.96,3.22,4.61,9.23,32.1,22.59,0,32.1,45.94,,,,,,5.16,31.7,1.34,29,25.1,4.227129338,91.48264984,79.17981073,8.9,1239,438,0.303151172,0.754288018,2.698045434,315,648
2.1,1,2,1,G-1/S-2,10/70/20,75/25,1.43,2.86,9.96,5.25,1.75,8.21,3.25,4.64,9.29,32.32,17.06,5.68,26.63,46.25,,3.25,46.25,3.34,,3.34,43.3,14.19,27.33,23.41,32.77136259,63.11778291,54.06466513,12.5,1153.5,28.5,2.758675604,3.601116764,34.48344505,485.3,969.8
2.2,1,2,2,G-1/S-2,10/70/20,75/25,1.43,2.86,9.96,5.25,1.75,8.21,3.25,4.64,9.29,32.32,17.06,5.68,26.63,46.25,,,,,,3.34,42.2,13.36,27.2,23.17,31.65876777,64.4549763,54.90521327,13,1293.75,123.75,2.299960207,3.927004387,29.89948269,492.8,1024.5
2.3,1,2,3,G-1/S-2,10/70/20,75/25,1.43,2.86,9.96,5.25,1.75,8.21,3.25,4.64,9.29,32.32,17.06,5.68,26.63,46.25,,,,,,3.34,38.6,11.38,25.86,22.14,29.48186528,66.99481865,57.35751295,10.9,1046.25,65.25,2.036298455,3.924611166,22.19565316,554.3,1103.3
2.4,1,2,4,G-1/S-2,10/70/20,75/25,1.43,2.86,9.96,5.25,1.75,8.21,3.25,4.64,9.29,32.32,17.06,5.68,26.63,46.25,,,,,,3.34,41.7,13.83,26.33,22.39,33.16546763,63.14148681,53.69304556,12.3,1450.5,343.5,3.052253724,3.129637129,37.54272081,627,1222.5
3.1,1,3,1,G-1/S-3,10/70/20,50/50,1.43,2.86,9.96,3.5,3.5,6.45,3.65,5.22,10.45,36.34,12.79,12.79,23.55,52,,3.65,52,3.56,,3.56,38.9,12.1,25.49,21.88,31.10539846,65.52699229,56.24678663,10,1270.5,370.5,1.626246554,3.124451501,16.26246554,453,912
3.2,1,3,2,G-1/S-3,10/70/20,50/50,1.43,2.86,9.96,3.5,3.5,6.45,3.65,5.22,10.45,36.34,12.79,12.79,23.55,52,,,,,,3.56,34.7,5.71,27.58,23.76,16.45533141,79.48126801,68.47262248,10.7,981,18,1.608695637,1.775428753,17.21304331,459,858
